"","Name","Sport","Sex","Team","n"
"256","Aleksey Aleksandrovich Obmochayev","Volleyball","M","Russia",1
"257","Aleksey Aleksandrovich Paramonov","Football","M","Soviet Union",1
"258","Aleksey Aleksandrovich Petrov","Weightlifting","M","Russia",1
"259","Aleksey Alekseyevich Prokurorov","Cross Country Skiing","M","Soviet Union",1
"260","Aleksey Anatolyevich Volkov","Biathlon","M","Russia",1
"261","Aleksey Borisovich Cheremisinov","Fencing","M","Russia",1
"262","Aleksey Gennadyevich Grishin","Freestyle Skiing","M","Belarus",1
"263","Aleksey Ivanovich Vakhonin","Weightlifting","M","Soviet Union",1
"264","Aleksey Ivanovich Voyevoda","Bobsleigh","M","Russia-1",2
"265","Aleksey Konstantinovich Yagudin","Figure Skating","M","Russia",1
"266","Aleksey Mikhaylovich Frosin","Fencing","M","Russia",1
"267","Aleksey Mikhaylovich Guryshev","Ice Hockey","M","Soviet Union",1
"268","Aleksey Nikolayevich Ulanov","Figure Skating","M","Soviet Union-1",1
"269","Aleksey Nikolayevich Voropayev","Gymnastics","M","Russia",1
"270","Aleksey Nikolayevich Voropayev","Gymnastics","M","Unified Team",1
"271","Aleksey Nikolayevich Zhitnik","Ice Hockey","M","Unified Team",1
"272","Aleksey Petrovich Gushchin","Shooting","M","Soviet Union",1
"273","Aleksey Valentinovich Kudryavtsev","Swimming","M","Unified Team",1
"274","Aleksey Vasilyevich Gusarov","Ice Hockey","M","Soviet Union",1
"275","Aleksey Vasilyevich Shumakov","Wrestling","M","Soviet Union",1
"276","Aleksey Viktorovich Kasatonov","Ice Hockey","M","Soviet Union",2
"277","Aleksey Viktorovich Tishchenko","Boxing","M","Russia",2
"278","Aleksey Vladimirovich Mishin","Wrestling","M","Russia",1
"279","Aleksey Vladimirovich Svirin","Rowing","M","Russia",1
"280","Aleksey Vyacheslavovich Kovalyov","Ice Hockey","M","Unified Team",1
"281","Aleksey Yevgenyevich Urmanov","Figure Skating","M","Russia",1
"282","Aleksey Yuryevich Nemov","Gymnastics","M","Russia",4
"283","Aleksey Yuryevich Zhamnov","Ice Hockey","M","Unified Team",1
"284","Alenka Cuderman","Handball","F","Yugoslavia",1
"285","Alessandra Sensini","Sailing","F","Italy",1
"286","Alessandro ""Sandro"" Campagna","Water Polo","M","Italy",1
"287","Alessandro Andrei","Athletics","M","Italy",1
"288","Alessandro Argenton","Equestrianism","M","Italy",1
"289","Alessandro Bovo","Water Polo","M","Italy",1
"290","Alessandro Puccini","Fencing","M","Italy",1
"291","Alessio Sartori","Rowing","M","Italy",1
"292","Aletta van Manen","Hockey","F","Netherlands",1
"293","Alette Hilde Sijbring","Water Polo","F","Netherlands",1
"294","Alevtina Pavlovna Kolchina (Leontyeva-)","Cross Country Skiing","F","Soviet Union",1
"295","Alevtina Sergeyevna Olyunina-Smirnova (-Panarina)","Cross Country Skiing","F","Soviet Union",1
"296","Alex Schwazer","Athletics","M","Italy",1
"297","Alex Walter Diggelmann","Art Competitions","M","Switzerland",1
"298","Alexander ""Alex"" Baumann","Swimming","M","Canada",2
"299","Alexander ""Alex"" Pietrangelo","Ice Hockey","M","Canada",1
"300","Alexander ""Sandy"" Archer","Ice Hockey","M","Great Britain",1
"301","Alexander ""Sandy"" Cowan","Lacrosse","M","Winnipeg Shamrocks-1",1
"302","Alexander Alan Budikusuma Wiratama","Badminton","M","Indonesia",1
"303","Alexander Elsdon Maunder","Shooting","M","Great Britain-1",1
"304","Alexander Frederick Yorke Scarlett","Rowing","M","Great Britain",1
"305","Alexander Grimm","Canoeing","M","Germany",1
"306","Alexander John ""Alex"" Gregory","Rowing","M","Great Britain",2
"307","Alexander John ""Alex"" Groza","Basketball","M","United States",1
"308","Alexander Koch","Fencing","M","Germany",1
"309","Alexander Mah Owens Drysdale","Rowing","M","New Zealand",2
"310","Alexander Noble ""Sandy"" Hall","Football","M","Galt Football Club",1
"311","Alexander Pusch","Fencing","M","West Germany",2
"312","Alexander Resch","Luge","M","Germany-2",1
"313","Alexander Thomas ""Sandy"" Turnbull","Lacrosse","M","Canada",1
"314","Alexander Viggo Jensen","Weightlifting","M","Denmark",1
"315","Alexander Welter","Sailing","M","Brazil",1
"316","Alexandra ""Sandy"" Chick","Hockey","F","Zimbabwe",1
"317","Alexandra Araujo","Water Polo","F","Italy",1
"318","Alexandra Georgiana Maria Eremia","Gymnastics","F","Romania",1
"319","Alexandra Jane ""Sandra"" Pisani","Hockey","F","Australia",1
"320","Alexandra Johanna ""Sandra"" Le Poole","Hockey","F","Netherlands",1
"321","Alexandra Mary L. ""Alex"" Danson","Hockey","F","Great Britain",1
"322","Alexandra Patricia ""Alex"" Morgan","Football","F","United States",1
"323","Alexandra Popp","Football","F","Germany",1
"324","Alexandra Rose ""Aly"" Raisman","Gymnastics","F","United States",3
"325","Alexandra Simons de Ridder","Equestrianism","F","Germany",1
"326","Alexandre ""Alex"" Bilodeau","Freestyle Skiing","M","Canada",2
"327","Alexandre ""Tande"" Ramos Samuel","Volleyball","M","Brazil",1
"328","Alexandre Auguste Lippmann","Fencing","M","France",2
"329","Alexandre Emmanuel Pharamond","Rugby","M","Union des Socits Franais de Sports Athletiques",1
"330","Alexe Dumitru","Canoeing","M","Romania",1
"331","Alexei Ramrez Rodrguez","Baseball","M","Cuba",1
"332","Alexi Singh Grewal","Cycling","M","United States",1
"333","Alf Erik Gillis Svensn","Gymnastics","M","Sweden",1
"334","Alf John Hansen","Rowing","M","Norway",1
"335","Alf Kristian Brun Jakobsen","Sailing","M","Irene",1
"336","Alf Lie","Gymnastics","M","Norway",1
"337","Alf Petter Hugsted","Ski Jumping","M","Norway",1
"338","Alf Steen Andersen","Ski Jumping","M","Norway",1
"339","Alf Tomas Jonsson","Ice Hockey","M","Sweden",1
"340","Alfons Dorfner","Canoeing","M","Austria",1
"341","Alfons Henri ""Rik"" Larnoe","Football","M","Belgium",1
"342","Alfons Julen","Military Ski Patrol","M","Switzerland",1
"343","Alfons Ltke Westhues (Hohenbrink-)","Equestrianism","M","Germany",1
"344","Alfonso Menndez Valln","Archery","M","Spain",1
"345","Alfonso Negro","Football","M","Italy",1
"346","Alfonso Prez Muoz","Football","M","Spain",1
"347","Alfrd (Arnold-) Hajs (Guttmann-)","Swimming","M","Hungary",2
"348","Alfred ""Toby"" Rawlinson","Polo","M","Foxhunters Hurlingham",1
"349","Alfred Adolph ""Al"" Oerter, Jr.","Athletics","M","United States",4
"350","Alfred Aufdenblatten","Military Ski Patrol","M","Switzerland",1
"351","Alfred Berger","Figure Skating","M","Austria",1
"352","Alfred Bertran Engelsen","Gymnastics","M","Norway",1
"353","Alfred Carleton ""A. C."" Gilbert","Athletics","M","United States",1
"354","Alfred Damon ""Al"" Lindley","Rowing","M","United States",1
"355","Alfred Ernest Chalk","Football","M","Upton Park FC",1
"356","Alfred Ernest Tysoe","Athletics","M","Amateur Athletic Association",1
"357","Alfred Ernest Tysoe","Athletics","M","Great Britain",1
"358","Alfred Felber","Rowing","M","Switzerland",1
"359","Alfred Flatow","Gymnastics","M","Germany",3
"360","Alfred Gomer Albert ""Alf"" Swahn","Shooting","M","Sweden",3
"361","Alfred Grtter","Shooting","M","Switzerland",2
"362","Alfred Hartman Bjrnson","Gymnastics","M","Norway",1
"363","Alfred Hensel","Art Competitions","M","Germany",1
"364","Alfred Iosifovich Kuchevsky","Ice Hockey","M","Soviet Union",1
"365","Alfred James Bowerman","Cricket","M","Devon and Somerset Wanderers",1
"366","Alfred James Powlesland","Cricket","M","Devon and Somerset Wanderers",1
