"","Year","Team","Season","total"
"340",1924,"Australia","Summer",10
"341",1924,"Austria","Summer",4
"342",1924,"Belgium","Summer",39
"343",1924,"Bera","Summer",5
"344",1924,"Bonzo","Summer",3
"345",1924,"Canada","Summer",20
"346",1924,"Czechoslovakia","Summer",10
"347",1924,"Denmark","Summer",11
"348",1924,"Elisabeth V","Summer",3
"349",1924,"Emily","Summer",5
"350",1924,"Estonia","Summer",6
"351",1924,"Finland","Summer",52
"352",1924,"France","Summer",101
"353",1924,"France-1","Summer",2
"354",1924,"France-2","Summer",2
"355",1924,"Great Britain","Summer",55
"356",1924,"Great Britain-1","Summer",2
"357",1924,"Great Britain-2","Summer",2
"358",1924,"Greece","Summer",1
"359",1924,"Haiti","Summer",5
"360",1924,"Hungary","Summer",22
"361",1924,"Ireland","Summer",2
"362",1924,"Italy","Summer",51
"363",1924,"Japan","Summer",1
"364",1924,"Luxembourg","Summer",2
"365",1924,"Monaco","Summer",1
"366",1924,"Namoussa","Summer",5
"367",1924,"Netherlands","Summer",24
"368",1924,"New Zealand","Summer",1
"369",1924,"Norway","Summer",14
"370",1924,"Poland","Summer",5
"371",1924,"Portugal","Summer",4
"372",1924,"Romania","Summer",16
"373",1924,"South Africa","Summer",3
"374",1924,"Sweden","Summer",72
"375",1924,"Switzerland","Summer",60
"376",1924,"United States","Summer",174
"377",1924,"United States-1","Summer",4
"378",1924,"United States-2","Summer",4
"379",1924,"Uruguay","Summer",14
"380",1924,"Willem-Six","Summer",3
"381",1924,"Yugoslavia","Summer",2
"382",1928,"Argentina","Summer",26
"383",1928,"Australia","Summer",4
"384",1928,"Austria","Summer",5
"385",1928,"Belgium","Summer",5
"386",1928,"Canada","Summer",33
"387",1928,"Chile","Summer",1
"388",1928,"Czechoslovakia","Summer",16
"389",1928,"Denmark","Summer",11
"390",1928,"Egypt","Summer",4
"391",1928,"Estonia","Summer",4
"392",1928,"Finland","Summer",25
"393",1928,"France","Summer",44
"394",1928,"Germany","Summer",77
"395",1928,"Great Britain","Summer",58
"396",1928,"Haiti","Summer",1
"397",1928,"Hi-Hi","Summer",4
"398",1928,"Hollandia","Summer",6
"399",1928,"Hungary","Summer",21
"400",1928,"India","Summer",14
"401",1928,"Ireland","Summer",1
"402",1928,"Italy","Summer",72
"403",1928,"Japan","Summer",9
"404",1928,"L'Aile VI","Summer",6
"405",1928,"Luxembourg","Summer",1
"406",1928,"Netherlands","Summer",51
"407",1928,"New Zealand","Summer",1
"408",1928,"Norna","Summer",4
"409",1928,"Norway","Summer",5
"410",1928,"Philippines","Summer",1
"411",1928,"Poland","Summer",20
"412",1928,"Portugal","Summer",6
"413",1928,"South Africa","Summer",6
"414",1928,"Spain","Summer",3
"415",1928,"Sweden","Summer",31
"416",1928,"Switzerland","Summer",30
"417",1928,"Sylvia","Summer",6
"418",1928,"Tutti V","Summer",5
"419",1928,"United States","Summer",88
"420",1928,"Uruguay","Summer",17
"421",1928,"Yugoslavia","Summer",12
"422",1932,"Angelita","Summer",12
"423",1932,"Argentina","Summer",4
"424",1932,"Australia","Summer",5
"425",1932,"Austria","Summer",5
"426",1932,"Belgium","Summer",1
"427",1932,"Bissbi","Summer",4
"428",1932,"Canada","Summer",29
"429",1932,"Caprice","Summer",4
"430",1932,"Czechoslovakia","Summer",6
"431",1932,"Denmark","Summer",11
"432",1932,"Finland","Summer",29
"433",1932,"France","Summer",40
"434",1932,"Gallant","Summer",5
"435",1932,"Germany","Summer",43
"436",1932,"Great Britain","Summer",33
"437",1932,"Hungary","Summer",33
"438",1932,"India","Summer",15
"439",1932,"Ireland","Summer",2
"440",1932,"Italy","Summer",77
"441",1932,"Japan","Summer",31
"442",1932,"Joy","Summer",2
"443",1932,"Jupiter","Summer",2
"444",1932,"Latvia","Summer",1
"445",1932,"Mexico","Summer",2
"446",1932,"Netherlands","Summer",13
"447",1932,"New Zealand","Summer",2
"448",1932,"Philippines","Summer",3
"449",1932,"Poland","Summer",21
"450",1932,"Santa Maria","Summer",6
"451",1932,"South Africa","Summer",5
"452",1932,"Spain","Summer",1
"453",1932,"Sweden","Summer",26
"454",1932,"Swedish Star","Summer",2
"455",1932,"Switzerland","Summer",1
"456",1932,"United States","Summer",170
"457",1932,"Uruguay","Summer",1
"458",1936,"Argentina","Summer",11
"459",1936,"Australia","Summer",1
"460",1936,"Austria","Summer",55
"461",1936,"Belgium","Summer",14
"462",1936,"Bem II","Summer",2
"463",1936,"Canada","Summer",22
"464",1936,"Czechoslovakia","Summer",18
"465",1936,"Denmark","Summer",6
"466",1936,"Egypt","Summer",5
"467",1936,"Estonia","Summer",7
"468",1936,"Finland","Summer",27
"469",1936,"France","Summer",44
"470",1936,"Germania II","Summer",6
"471",1936,"Germany","Summer",215
"472",1936,"Great Britain","Summer",30
"473",1936,"Hungary","Summer",41
"474",1936,"India","Summer",19
"475",1936,"Italia","Summer",6
"476",1936,"Italy","Summer",70
"477",1936,"Japan","Summer",23
"478",1936,"Lalage","Summer",5
"479",1936,"Latvia","Summer",2
"480",1936,"Lully II","Summer",5
"481",1936,"May Be","Summer",5
"482",1936,"Mexico","Summer",16
"483",1936,"Netherlands","Summer",34
"484",1936,"New Zealand","Summer",1
"485",1936,"Norway","Summer",17
"486",1936,"Nrnberg","Summer",1
"487",1936,"Philippines","Summer",1
"488",1936,"Poland","Summer",12
"489",1936,"Portugal","Summer",3
"490",1936,"Potsdam","Summer",1
"491",1936,"Romania","Summer",1
"492",1936,"Rostock","Summer",1
"493",1936,"Silja","Summer",6
"494",1936,"South Africa","Summer",1
"495",1936,"Sunshine","Summer",2
"496",1936,"Sweden","Summer",28
"497",1936,"Switzerland","Summer",52
"498",1936,"Turkey","Summer",2
"499",1936,"United States","Summer",96
"500",1936,"Wannsee","Summer",2
"501",1936,"Yugoslavia","Summer",1
"502",1948,"Ali-Baba II","Summer",5
"503",1948,"Argentina","Summer",6
"504",1948,"Australia","Summer",16
"505",1948,"Austria","Summer",8
"506",1948,"Belgium","Summer",15
"507",1948,"Brazil","Summer",10
"508",1948,"Canada","Summer",7
"509",1948,"Czechoslovakia","Summer",20
"510",1948,"Denmark","Summer",48
"511",1948,"Djinn","Summer",5
"512",1948,"Egypt","Summer",5
"513",1948,"Finland","Summer",33
"514",1948,"France","Summer",72
"515",1948,"Great Britain","Summer",59
"516",1948,"Hilarius","Summer",2
"517",1948,"Hungary","Summer",62
"518",1948,"India","Summer",20
"519",1948,"Iran","Summer",1
"520",1948,"Ireland","Summer",1
"521",1948,"Italy","Summer",67
"522",1948,"Jamaica","Summer",3
"523",1948,"Kurush II","Summer",2
"524",1948,"Llanoria","Summer",5
"525",1948,"Margaret","Summer",2
"526",1948,"Mexico","Summer",9
"527",1948,"Netherlands","Summer",40
"528",1948,"Norway","Summer",15
"529",1948,"Pan","Summer",3
"530",1948,"Panama","Summer",2
"531",1948,"Peru","Summer",1
"532",1948,"Poland","Summer",2
"533",1948,"Portugal","Summer",3
"534",1948,"Puerto Rico","Summer",1
"535",1948,"Slaghoken","Summer",3
"536",1948,"Snap","Summer",3
"537",1948,"South Africa","Summer",6
"538",1948,"South Korea","Summer",2
"539",1948,"Spain","Summer",3
"540",1948,"Sri Lanka","Summer",1
"541",1948,"Starita","Summer",2
"542",1948,"Sweden","Summer",67
"543",1948,"Swift","Summer",2
"544",1948,"Switzerland","Summer",36
"545",1948,"Symphony","Summer",2
"546",1948,"Trinidad and Tobago","Summer",1
"547",1948,"Turkey","Summer",12
"548",1948,"United States","Summer",143
"549",1948,"Uruguay","Summer",3
"550",1948,"Yugoslavia","Summer",16
"551",1952,"Argentina","Summer",6
"552",1952,"Australia","Summer",20
"553",1952,"Austria","Summer",3
"554",1952,"Belgium","Summer",8
"555",1952,"Brazil","Summer",3
"556",1952,"Bulgaria","Summer",1
