"","Year","Team","total"
"292",1920,"Antwerpia V",5
"293",1920,"Atlanta",9
"294",1920,"Australia",7
"295",1920,"Beatrijs III-1",3
"296",1920,"Belgium",177
"297",1920,"Boreas-2",2
"298",1920,"Brazil",7
"299",1920,"Canada",16
"300",1920,"Czechoslovakia",10
"301",1920,"Denmark",71
"302",1920,"Edelweiss II-1",3
"303",1920,"Eleda",7
"304",1920,"Elsie",4
"305",1920,"Estonia",3
"306",1920,"Finland",52
"307",1920,"Fornebo",4
"308",1920,"France",134
"309",1920,"France-3",4
"310",1920,"Great Britain",101
"311",1920,"Great Britain-1",2
"312",1920,"Great Britain-2",2
"313",1920,"Great Britain-3",2
"314",1920,"Greece",5
"315",1920,"Heira II",9
"316",1920,"Irene",5
"317",1920,"Italy",84
"318",1920,"Japan",3
"319",1920,"Jo",3
"320",1920,"Kullan",3
"321",1920,"Luxembourg",1
"322",1920,"Lyn-2",5
"323",1920,"Marmi II-1",3
"324",1920,"Mosk II",7
"325",1920,"Netherlands",42
"326",1920,"New Zealand",1
"327",1920,"Norway",78
"328",1920,"Oranje",3
"329",1920,"Rose Pompon",3
"330",1920,"Sif",4
"331",1920,"Sildra-1",4
"332",1920,"South Africa",21
"333",1920,"Spain",23
"334",1920,"Stella-2",3
"335",1920,"Sweden",143
"336",1920,"Switzerland",29
"337",1920,"Tan-Fe-Pah",3
"338",1920,"United States",194
"339",1924,"Argentina",10
"340",1924,"Australia",11
"341",1924,"Austria",8
"342",1924,"Belgium",39
"343",1924,"Belgium-1",5
"344",1924,"Bera",5
"345",1924,"Bonzo",3
"346",1924,"Canada",29
"347",1924,"Czechoslovakia",10
"348",1924,"Denmark",11
"349",1924,"Elisabeth V",3
"350",1924,"Emily",5
"351",1924,"Estonia",6
"352",1924,"Finland",67
"353",1924,"France",109
"354",1924,"France-1",4
"355",1924,"France-2",2
"356",1924,"Great Britain",82
"357",1924,"Great Britain-1",6
"358",1924,"Great Britain-2",2
"359",1924,"Greece",1
"360",1924,"Haiti",5
"361",1924,"Hungary",22
"362",1924,"India",7
"363",1924,"Ireland",2
"364",1924,"Italy",51
"365",1924,"Japan",1
"366",1924,"Luxembourg",2
"367",1924,"Monaco",1
"368",1924,"Namoussa",5
"369",1924,"Nepal",1
"370",1924,"Netherlands",24
"371",1924,"New Zealand",1
"372",1924,"Norway",31
"373",1924,"Poland",5
"374",1924,"Portugal",4
"375",1924,"Romania",16
"376",1924,"South Africa",3
"377",1924,"Sweden",81
"378",1924,"Switzerland",65
"379",1924,"Switzerland-1",4
"380",1924,"United States",186
"381",1924,"United States-1",4
"382",1924,"United States-2",4
"383",1924,"Uruguay",14
"384",1924,"Willem-Six",3
"385",1924,"Yugoslavia",2
"386",1928,"Argentina",26
"387",1928,"Australia",4
"388",1928,"Austria",7
"389",1928,"Austria-1",2
"390",1928,"Austria-2",2
"391",1928,"Belgium",6
"392",1928,"Canada",45
"393",1928,"Chile",1
"394",1928,"Czechoslovakia",17
"395",1928,"Denmark",11
"396",1928,"Egypt",4
"397",1928,"Estonia",4
"398",1928,"Finland",29
"399",1928,"France",46
"400",1928,"Germany",77
"401",1928,"Germany-2",5
"402",1928,"Great Britain",59
"403",1928,"Haiti",1
"404",1928,"Hi-Hi",4
"405",1928,"Hollandia",6
"406",1928,"Hungary",21
"407",1928,"India",14
"408",1928,"Ireland",1
"409",1928,"Italy",72
"410",1928,"Japan",9
"411",1928,"L'Aile VI",6
"412",1928,"Luxembourg",1
"413",1928,"Netherlands",51
"414",1928,"New Zealand",1
"415",1928,"Norna",4
"416",1928,"Norway",20
"417",1928,"Philippines",1
"418",1928,"Poland",20
"419",1928,"Portugal",6
"420",1928,"South Africa",6
"421",1928,"Spain",3
"422",1928,"Sweden",47
"423",1928,"Switzerland",42
"424",1928,"Sylvia",6
"425",1928,"Tutti V",5
"426",1928,"United States",92
"427",1928,"United States-1",5
"428",1928,"United States-2",5
"429",1928,"Uruguay",17
"430",1928,"Yugoslavia",12
"431",1932,"Angelita",12
"432",1932,"Argentina",4
"433",1932,"Australia",5
"434",1932,"Austria",7
"435",1932,"Belgium",1
"436",1932,"Bissbi",4
"437",1932,"Canada",49
"438",1932,"Caprice",4
"439",1932,"Czechoslovakia",6
"440",1932,"Denmark",11
"441",1932,"Finland",32
"442",1932,"France",42
"443",1932,"Gallant",5
"444",1932,"Germany",53
"445",1932,"Germany-1",4
"446",1932,"Great Britain",33
"447",1932,"Hungary",33
"448",1932,"Hungary-1",2
"449",1932,"India",15
"450",1932,"Ireland",2
"451",1932,"Italy",77
"452",1932,"Japan",31
"453",1932,"Joy",2
"454",1932,"Jupiter",2
"455",1932,"Latvia",1
"456",1932,"Mexico",2
"457",1932,"Netherlands",13
"458",1932,"New Zealand",2
"459",1932,"Norway",10
"460",1932,"Philippines",3
"461",1932,"Poland",21
"462",1932,"Santa Maria",6
"463",1932,"South Africa",5
"464",1932,"Spain",1
"465",1932,"Sweden",29
"466",1932,"Swedish Star",2
"467",1932,"Switzerland",1
"468",1932,"Switzerland-2",2
"469",1932,"United States",190
"470",1932,"United States-1",8
"471",1932,"United States-2",6
"472",1932,"Uruguay",1
"473",1936,"Argentina",11
"474",1936,"Australia",1
"475",1936,"Austria",58
"476",1936,"Austria-1",2
"477",1936,"Belgium",14
"478",1936,"Bem II",2
"479",1936,"Canada",35
"480",1936,"Czechoslovakia",18
"481",1936,"Denmark",6
"482",1936,"Egypt",5
"483",1936,"Estonia",7
"484",1936,"Finland",36
"485",1936,"France",45
"486",1936,"Germania II",6
"487",1936,"Germany",220
"488",1936,"Germany-1",2
"489",1936,"Great Britain",47
"490",1936,"Hungary",41
"491",1936,"Hungary-1",2
"492",1936,"India",19
"493",1936,"Italia",6
"494",1936,"Italy",70
"495",1936,"Japan",23
"496",1936,"Lalage",5
"497",1936,"Latvia",2
"498",1936,"Lully II",5
"499",1936,"May Be",5
"500",1936,"Mexico",16
"501",1936,"Netherlands",34
"502",1936,"New Zealand",1
"503",1936,"Norway",35
"504",1936,"Nrnberg",1
"505",1936,"Philippines",1
"506",1936,"Poland",12
"507",1936,"Portugal",3
"508",1936,"Potsdam",1
"509",1936,"Romania",1
"510",1936,"Rostock",1
"511",1936,"Silja",6
"512",1936,"South Africa",1
